id,location,link_dom_ria_com,rooms,area_general_living_kitch,floor,price_usd,post_date,scrape_date1,views1,scrape_date2,views2,scrape_date_cal1,scrape_date_cal2,views_0,views_decision_%,views_decision1_%
32295733,просп. Героїв Харкова 268,-harkov-industrialnyy-geroev-harkova-moskovskiy-prospekt-32295733.html,3,83 м²\ 47.7 м²\ 11.1 м²,8th of 9,37 500,2025-01-19,2025-01-24,53.0,2025-01-29,91.0,5.0,10.0,15.07,-85.68,16.61
32272254,вул. Миру 21,-harkov-industrialnyy-mira-ulitsa-32272254.html,2,58 м²\ 34 м²\ 11 м²,2th of 9,50 000,2025-01-14,2025-01-24,78.0,2025-01-29,93.0,10.0,15.0,15.06,-85.69,3.54
32539627,шосе Григорівське 83Б,-harkov-holodnaya-gora-grigorovskoe-shosse-32539627.html,1,31 м²\ 16 м²\ 6 м²,3th of 5,16 500,2025-01-22,2025-01-24,26.0,2025-01-29,66.0,2.0,7.0,15.05,-85.7,1.21
26078963,просп. Героїв Харкова 118,-harkov-tsentr-26078963.html,1,21 м²\ 17 м²\ 6 м²,4th of 5,13 000,2025-01-22,2025-01-24,26.0,2025-01-29,62.0,2.0,7.0,15.05,-85.7,-4.92
32553907,вул. Полтавський Шлях 31,-harkov-tsentr-poltavskiy-shlyah-ulitsa-32553907.html,2,50 м²\ 31 м²\ 9 м²,6th of 6,27 500,2025-01-22,2025-01-24,26.0,2025-01-29,61.0,2.0,7.0,15.05,-85.7,-6.46
26628963,вул. Біблика 1В,-harkov-htz-26628963.html,3,65 м²\ 43 м²\ 8 м²,7th of 12,40 000,2025-01-22,2025-01-24,26.0,2025-01-29,58.0,2.0,7.0,15.05,-85.7,-11.06
26780895,пров. Ботанічний 2,-harkov-pavlovka-botanicheskiy-pereulok-26780895.html,1,55 м²\ 18 м²\ 12 м²,8th of 15,60 000,2025-01-22,2025-01-24,26.0,2025-01-29,51.0,2.0,7.0,15.05,-85.7,-21.79
25773201,вул. Слов'янська 10,-harkov-tsentr-slavyanskaya-ulitsa-25773201.html,4,115 м²\ 81 м²\ 11 м²,15th of 16,65 000,2025-01-22,2025-01-24,26.0,2025-01-29,49.0,2.0,7.0,15.05,-85.7,-24.86
31403286,вул. Спартака 17,-harkov-tsentr-spartaka-ulitsa-31403286.html,4,130 м²\ 62 м²\ 20 м²,3th of 4,150 000,2025-01-22,2025-01-24,26.0,2025-01-29,49.0,2.0,7.0,15.05,-85.7,-24.86
31692936,вул. Благовіщенська 29А,-harkov-panasovka-blagoveschenskaya-ulitsa-31692936.html,2,44 м²\ 30 м²\ 7 м²,5th of 5,29 500,2025-01-22,2025-01-24,26.0,2025-01-29,47.0,2.0,7.0,15.05,-85.7,-27.93
32113687,вул. Холодногірська 12,-harkov-holodnaya-gora-holodnogorskaya-ulitsa-32113687.html,2,46 м²\ 29 м²\ 8 м²,7th of 9,34 000,2025-01-22,2025-01-24,26.0,2025-01-29,47.0,2.0,7.0,15.05,-85.7,-27.93
31447111,вул. Ярославська 21,-harkov-tsentr-yaroslavskaya-ulitsa-31447111.html,1,22 м²\ 17 м²\ 5 м²,4th of 5,23 000,2025-01-22,2025-01-24,26.0,2025-01-29,46.0,2.0,7.0,15.05,-85.7,-29.46
28761917,вул. Миру,-harkov-industrialnyy-mira-ulitsa-28761917.html,2,56 м²\ 9 м²,3th of 9,37 000,2025-01-22,2025-01-24,26.0,2025-01-29,42.0,2.0,7.0,15.05,-85.7,-35.59
26945044,вул. Навчальна 23/2,-harkov-holodnaya-gora-mendeleeva-ulitsa-26945044.html,2,45 м²\ 27 м²\ 6 м²,5th of 12,29 500,2025-01-22,2025-01-24,26.0,2025-01-29,38.0,2.0,7.0,15.05,-85.7,-41.73
31143893,вул. Миру,-harkov-htz-mira-ulitsa-31143893.html,1,50 м²\ 15 м²,8th of 9,42 000,2024-12-30,2025-01-24,98.0,,,25.0,,15.05,-85.7,
32208181,пров. Отакара Яроша 16,-harkov-shevchenkovskiy-otakara-yarosha-pereulok-32208181.html,1,75.8 м²\ 30.8 м²\ 20.7 м²,19th of 25,98 000,2024-09-08,2025-01-24,100.0,2025-01-29,120.0,138.0,143.0,15.0,-85.75,20.0
32357206,вул. Борткевича 15,-harkov-kievskiy-bortkevicha-ulitsa-32357206.html,1,40 м²\ 40 м²\ 13 м²,2th of 9,15 800,2024-12-24,2025-01-24,99.0,,,31.0,,14.99,-85.76,
